frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.034,haar,0.0043,Sadness,STRESS,---,,---,0.0035,0.0022,0.3169,0.2038,0.0000,0.0849,0.000000,IDLE,"68,40,155,139",-0.0117,0.0000
2,0.069,haar,0.0039,Sadness,STRESS,---,,---,0.0033,0.0178,0.2970,0.1911,0.0000,0.0823,0.000000,IDLE,"68,40,155,139",-0.0115,0.0000
3,0.103,haar,0.0042,Anger,STRESS,---,,---,0.0036,0.0879,0.3976,0.1802,0.0014,0.0800,0.000000,IDLE,"68,40,156,139",-0.0118,0.0000
4,0.138,haar,0.0036,Anger,STRESS,---,,---,0.0031,0.1045,0.3670,0.1739,0.0489,0.0782,0.000000,IDLE,"68,40,156,139",-0.0119,0.0000
5,0.172,haar,0.0027,Anger,STRESS,---,,---,0.0023,0.1433,0.5423,0.1719,0.1516,0.0768,0.000000,IDLE,"68,40,156,139",-0.0110,0.0000
6,0.207,haar,0.0035,Anger,STRESS,---,,---,0.0030,0.1889,0.5899,0.1711,0.0807,0.0759,0.000000,IDLE,"68,40,157,139",-0.0114,0.0000
7,0.241,haar,0.0062,Anger,STRESS,---,,---,0.0054,0.2135,0.6257,0.1552,0.1787,0.0745,0.000000,IDLE,"69,40,157,139",-0.0124,0.0000
8,0.276,haar,0.0043,Anger,STRESS,---,,---,0.0038,0.1822,0.6033,0.1447,0.2297,0.0728,0.000000,IDLE,"69,41,157,139",-0.0153,0.0000
9,0.310,haar,0.0043,Anger,STRESS,---,,---,0.0037,0.1845,0.6061,0.1457,0.2841,0.0715,0.000000,IDLE,"69,41,158,139",-0.0148,0.0000
10,0.345,haar,0.0026,Anger,STRESS,---,,---,0.0023,0.1634,0.5941,0.1305,0.1950,0.0698,-0.001517,IDLE,"69,41,158,140",-0.0154,0.0000
11,0.379,haar,0.0026,Anger,---,---,,---,0.0024,0.2076,0.6055,0.1219,0.3354,0.0680,-0.001429,IDLE,"69,42,159,140",-0.0172,0.0000
12,0.414,haar,0.0033,Anger,---,---,,---,0.0030,0.2059,0.6263,0.1188,0.0986,0.0665,-0.001348,IDLE,"69,42,159,140",-0.0166,0.0000
13,0.448,haar,0.0026,Anger,---,---,,---,0.0023,0.1795,0.6251,0.1105,0.0974,0.0649,-0.001326,IDLE,"70,42,159,140",-0.0159,0.0000
14,0.483,haar,0.0015,Anger,---,---,,---,0.0014,0.2518,0.6593,0.1084,0.2152,0.0635,-0.001337,IDLE,"70,43,160,140",-0.0144,0.0000
15,0.517,haar,0.0020,Anger,---,---,,---,0.0018,0.2619,0.6960,0.1076,0.1929,0.0622,-0.001376,IDLE,"70,43,160,140",-0.0143,0.0000
16,0.552,haar,0.0019,Anger,---,---,,---,0.0017,0.2572,0.7056,0.1097,0.0902,0.0611,-0.001336,IDLE,"70,43,160,141",-0.0143,0.0000
17,0.586,haar,0.0017,Anger,---,---,,---,0.0015,0.2581,0.7226,0.1132,0.3931,0.0602,-0.001254,IDLE,"71,43,160,141",-0.0130,0.0000
18,0.621,haar,0.0027,Anger,---,---,,---,0.0024,0.2504,0.6960,0.1170,0.4577,0.0596,-0.001192,IDLE,"71,43,161,141",-0.0125,0.0000
19,0.655,haar,0.0016,Anger,---,---,,---,0.0014,0.2566,0.6766,0.1182,0.0280,0.0590,-0.001077,IDLE,"71,43,161,141",-0.0117,0.0000
20,0.690,haar,0.0020,Anger,---,---,,---,0.0018,0.2646,0.7019,0.1161,0.0004,0.0584,-0.000959,IDLE,"71,44,161,141",-0.0115,0.0000
21,0.724,haar,0.0018,Anger,---,---,,---,0.0016,0.3084,0.7420,0.1137,0.0019,0.0579,-0.000863,IDLE,"71,44,161,141",-0.0113,0.0000
22,0.759,haar,0.0026,Anger,---,---,,---,0.0023,0.3113,0.7133,0.1129,0.0135,0.0574,-0.000755,IDLE,"71,44,161,142",-0.0112,0.0000
23,0.793,haar,0.0020,Anger,---,---,,---,0.0018,0.2524,0.6736,0.1110,0.0217,0.0569,-0.000660,IDLE,"71,44,161,142",-0.0119,0.0000
24,0.828,haar,0.0022,Anger,---,---,,---,0.0019,0.3621,0.7953,0.1077,0.0000,0.0563,-0.000585,IDLE,"71,44,161,142",-0.0127,0.0000
25,0.862,haar,0.0020,Anger,---,---,,---,0.0018,0.2833,0.7122,0.1063,0.0029,0.0558,-0.000528,IDLE,"71,44,161,142",-0.0132,0.0000
26,0.897,haar,0.0047,Anger,---,---,,---,0.0042,0.2511,0.7089,0.1006,0.0000,0.0553,-0.000491,IDLE,"71,45,161,142",-0.0140,0.0000
27,0.931,haar,0.0047,Anger,---,---,,---,0.0043,0.2696,0.6771,0.0977,0.0000,0.0548,-0.000475,IDLE,"71,45,161,142",-0.0156,0.0000
28,0.966,haar,0.0029,Anger,---,---,,---,0.0026,0.3022,0.7555,0.0953,0.0000,0.0543,-0.000470,IDLE,"71,46,161,142",-0.0165,0.0000
