
==============================================================
  Advanced Analysis: 20260517_200406_mp_hs_S10_Vid13_bright.csv
  signal_col=hs_fear  threshold=0.7  min_frames=10  window=15fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 100.00%  (how clean are your triggers?)
  Recall    : 44.44%  (how many scares did you catch?)
  F1-Score  : 0.6154
  Triggers  : 6 total  (0 FP / 6 hit-any-GT)
  GT Events : 4/9 caught  (0 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 Fear       4      9      44%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
02:11  Fear         0.664         0.143            100%
03:19  Fear         0.390         0.134            100%
03:34  Fear         0.487         0.054            100%
04:50  Fear         0.693         0.327            100%
06:30  Fear         0.537         0.256            100%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.75      12  strict   100.00%    22.22%    0.3636          2
   0.75      12     10   100.00%    22.22%    0.3636          2
   0.75      12     15   100.00%    22.22%    0.3636          2
   0.75      12     20   100.00%    22.22%    0.3636          2
   0.75      15  strict   100.00%    22.22%    0.3636          2
   0.75      15     10   100.00%    22.22%    0.3636          2
   0.75      15     15   100.00%    22.22%    0.3636          2
   0.75      15     20   100.00%    22.22%    0.3636          2

   0.80       5  strict   100.00%    22.22%    0.3636          2
   0.80       5     10   100.00%    22.22%    0.3636          2
   0.80       5     15   100.00%    22.22%    0.3636          2
   0.80       5     20   100.00%    22.22%    0.3636          2
   0.80       8  strict   100.00%    22.22%    0.3636          2
   0.80       8     10   100.00%    22.22%    0.3636          2
   0.80       8     15   100.00%    22.22%    0.3636          2
   0.80       8     20   100.00%    22.22%    0.3636          2
   0.80      10  strict   100.00%    11.11%    0.2000          1
   0.80      10     10   100.00%    22.22%    0.3636          2
   0.80      10     15   100.00%    22.22%    0.3636          2
   0.80      10     20   100.00%    22.22%    0.3636          2
   0.80      12  strict   100.00%    11.11%    0.2000          1
   0.80      12     10   100.00%    22.22%    0.3636          2
   0.80      12     15   100.00%    22.22%    0.3636          2
   0.80      12     20   100.00%    22.22%    0.3636          2
   0.80      15  strict   100.00%    11.11%    0.2000          1
   0.80      15     10   100.00%    22.22%    0.3636          2
   0.80      15     15   100.00%    22.22%    0.3636          2
   0.80      15     20   100.00%    22.22%    0.3636          2

======================================================================
  === Formula: hs_fear (raw_hs) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40       5  strict    61.54%    88.89%    0.7273         13
   0.40       5     10    57.14%    88.89%    0.6957         14
   0.40       5     15    57.14%    88.89%    0.6957         14
   0.40       5     20    66.67%    88.89%    0.7619         12
   0.40       8  strict    66.67%    88.89%    0.7619         12
   0.40       8     10    57.14%    88.89%    0.6957         14
   0.40       8     15    57.14%    88.89%    0.6957         14
   0.40       8     20    66.67%    88.89%    0.7619         12
   0.40      10  strict    66.67%    88.89%    0.7619         12
