frame,timestamp,hs_crop_source,mp_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_tension_v3,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
29,0.967,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0218,-0.0924,0.7635,0.0000,0.2321,0.0714,0.0226,-0.000256,IDLE,"57,78,153,186",-0.2144,0.0001
30,1.000,haar,full_frame,0.0000,Neutral,---,---,AMBIGUOUS,---,0.0121,-0.0856,0.8061,0.0000,0.2338,0.1658,0.0223,-0.000231,IDLE,"57,78,154,186",-0.2352,0.0000
31,1.033,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0185,-0.0636,0.7801,0.0000,0.0529,0.0317,0.0220,-0.000195,IDLE,"57,78,154,187",-0.2330,0.0000
32,1.067,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0164,-0.0779,0.7732,0.0000,0.0516,0.0128,0.0217,-0.000166,IDLE,"57,78,154,187",-0.2334,0.0000
33,1.100,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0284,-0.0137,0.7408,0.0000,0.0532,0.1420,0.0217,-0.000139,IDLE,"57,78,155,188",-0.2374,0.0000
34,1.133,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0253,-0.0743,0.7381,0.0000,0.0537,0.1085,0.0216,-0.000145,IDLE,"57,78,155,188",-0.2590,0.0000
35,1.167,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0246,-0.0205,0.7298,0.0000,0.0510,0.8126,0.0215,-0.000120,IDLE,"57,78,155,189",-0.2133,0.0000
36,1.200,haar,full_frame,0.0009,Neutral,CONC,---,AMBIGUOUS,---,0.0441,0.0016,0.6844,0.0000,0.0530,0.1374,0.0217,-0.000126,IDLE,"57,79,155,189",-0.2300,0.0000
37,1.233,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0423,-0.0241,0.6920,0.0000,0.0585,0.1079,0.0218,-0.000098,IDLE,"57,79,155,189",-0.2898,0.0000
38,1.267,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0303,-0.0293,0.7307,0.0000,0.0601,0.0012,0.0218,-0.000081,IDLE,"57,79,156,190",-0.3236,0.0000
39,1.300,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0149,-0.0668,0.7232,0.0000,0.0560,0.0037,0.0215,-0.000072,IDLE,"57,79,156,190",-0.2910,0.0000
40,1.333,haar,full_frame,0.0000,Neutral,CONC,---,AMBIGUOUS,---,0.0142,-0.0202,0.7802,0.0000,0.0621,0.3400,0.0213,-0.000074,IDLE,"57,79,156,190",-0.3204,0.0000
