event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E14,CANDIDATE,86.167,87.000,0.83,86.167,3,2.6,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.5497,0.4069,0.3078,0.0986,0.2466,0.0923,0.3123,0.1899,0.2240,0.0208,0.2693,0.0927,0.2717,0.0541,Fear,0.4375,0.1317,0.2979,0.1132,0.830,2,0,19,0,0,0,4,1,0.0,0,False,,,,,,,,,,,
E15,CANDIDATE,89.333,91.933,2.60,91.033,4,3.3,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.6740,0.3748,0.5753,0.4003,0.4063,0.2964,0.6674,0.4439,0.6740,0.3330,0.4779,0.3325,0.5662,0.3589,Fear,0.4637,0.0761,0.2626,0.1038,0.030,65,0,8,0,0,0,0,6,0.0,0,False,,,,,,,,,,,
E16,CANDIDATE,92.467,93.933,1.47,92.500,4,2.9,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2916,0.1747,0.3312,0.1677,0.2695,0.1427,0.3560,0.1820,0.2916,0.1111,0.2735,0.1375,0.2957,0.1399,Fear,0.2937,0.2153,0.3246,0.1029,0.350,12,0,0,0,0,0,0,33,0.0,0,False,,,,,,,,,,,
E17,CONFIRMED,96.000,101.000,5.00,96.967,5,3.6,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.7290,0.3578,0.6014,0.3618,0.4296,0.2995,0.7244,0.4053,0.7290,0.3578,0.5374,0.3071,0.5979,0.3548,Fear,0.8892,0.0935,1.0069,0.1051,2.100,105,13,0,0,0,0,0,33,0.0,0,False,,,,,,,,,,,
E18,CONFIRMED,101.667,102.367,0.70,102.300,5,2.8,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.2870,0.1579,0.2583,0.1590,0.2587,0.1526,0.2821,0.1634,0.2870,0.0922,0.2728,0.1444,0.2280,0.1312,Surprise,0.3290,0.3308,0.3368,0.1523,3.130,5,2,0,0,0,0,0,15,0.0,0,False,,,,,,,,,,,
E19,CONFIRMED,105.333,105.733,0.40,105.400,5,4.5,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.2452,0.1766,0.2603,0.1641,0.2720,0.1907,0.2702,0.1776,0.2452,0.1766,0.3130,0.1541,0.2497,0.1547,Surprise,0.3163,0.4191,0.3140,0.1421,0.230,0,7,0,0,0,0,0,6,0.0,0,False,,,,,,,,,,,
E20,CANDIDATE,112.633,114.267,1.63,113.100,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3119,0.1933,0.3569,0.2133,0.3090,0.1837,0.3767,0.2236,0.3119,0.1425,0.2985,0.1796,0.3295,0.1749,Fear,0.4495,0.2242,0.3292,0.1279,0.460,18,0,4,0,0,0,0,28,0.0,0,False,,,,,,,,,,,
E21,CANDIDATE,115.733,116.500,0.77,115.767,4,3.7,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3464,0.2238,0.3132,0.2543,0.2678,0.2217,0.3517,0.2667,0.3464,0.2136,0.2770,0.2141,0.2656,0.2142,Fear,0.3406,0.1469,0.3677,0.1124,0.020,21,0,0,0,0,0,0,3,0.0,0,False,,,,,,,,,,,
E22,CONFIRMED,117.100,118.633,1.53,118.167,5,3.1,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3072,0.1878,0.2862,0.1456,0.2737,0.1479,0.3136,0.1679,0.3072,0.0965,0.2381,0.1224,0.2810,0.1241,Fear,0.3582,0.2841,0.2570,0.0986,0.100,5,6,5,0,0,0,0,31,0.0,0,False,,,,,,,,,,,
E23,CANDIDATE,119.867,120.933,1.07,119.867,3,3.0,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.2522,0.1385,0.3072,0.2453,0.2598,0.2238,0.2919,0.2325,0.2522,0.1385,0.2789,0.2062,0.2939,0.2350,Fear,0.3299,0.2724,0.1906,0.1062,0.020,24,0,0,0,0,0,0,9,0.0,0,False,,,,,,,,,,,
