event_id,tier,cluster_start_s,cluster_end_s,duration_s,peak_t,vote_count_peak,vote_count_mean,channels_active,verdict,category,start_s,end_s,context,peak_f0,mean_f0,peak_f1,mean_f1,peak_f2,mean_f2,peak_f3,mean_f3,peak_f4,mean_f4,peak_f5,mean_f5,peak_f6,mean_f6,cluster_emotion,peak_hs_fear,peak_hs_surprise,peak_hs_arousal,peak_mp_tension,peak_mp_startle,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,no_face_pct,n_veto_frames,scene_cut_bounded,rppg_bpm_chrom,rppg_pre_bpm_chrom,rppg_delta_chrom,rppg_bpm_pos,rppg_pre_bpm_pos,rppg_delta_pos,rppg_bpm_green,rppg_pre_bpm_green,rppg_delta_green,rppg_impression,rppg_notes
E54,CANDIDATE,275.033,276.567,1.53,275.033,3,3.0,"DOM_FEAR,FEAR_THR,AROUSAL",,,,,,0.4542,0.3273,0.4385,0.2521,0.3360,0.2192,0.5029,0.3056,0.4542,0.3209,0.3630,0.2084,0.3989,0.2054,Fear,0.3435,0.2391,0.4317,0.0796,0.100,46,0,1,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E55,CANDIDATE,277.867,278.700,0.83,277.867,4,3.4,"FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3676,0.1495,0.1939,0.1085,0.2271,0.1237,0.2521,0.1180,0.2654,0.0458,0.2425,0.0984,0.1793,0.0909,Anger,0.1638,0.1207,0.4960,0.1299,3.720,0,6,4,0,0,0,0,16,0.0,0,False,,,,,,,,,,,
E56,CONFIRMED,285.233,293.833,8.60,285.833,6,3.5,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.6858,0.3053,0.5607,0.3491,0.4074,0.2840,0.6773,0.3776,0.6858,0.2867,0.5682,0.2950,0.5547,0.3305,Fear,0.3746,0.2288,0.3284,0.1108,4.390,202,19,5,0,0,0,0,33,0.0,0,False,,,,,,,,,,,
E57,CANDIDATE,301.333,302.467,1.13,301.667,4,3.5,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3827,0.2573,0.4425,0.2175,0.3204,0.1648,0.4703,0.2495,0.3827,0.1072,0.3641,0.1836,0.3433,0.1366,Fear,0.5301,0.0419,0.5427,0.1427,0.050,12,0,22,0,0,0,0,1,2.9,0,False,,,,,,,,,,,
E58,CONFIRMED,305.567,307.500,1.93,306.133,6,3.5,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.4191,0.1081,0.5792,0.2055,0.4086,0.1616,0.6037,0.1891,0.4191,0.0864,0.4799,0.1760,0.5581,0.1893,Fear,0.6688,0.0833,0.3228,0.2055,1.130,20,0,3,0,2,0,0,34,16.9,0,False,,,,,,,,,,,
E59,CANDIDATE,309.067,311.267,2.20,309.733,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3435,0.1910,0.4831,0.2942,0.3649,0.2369,0.4980,0.2900,0.3435,0.1817,0.3998,0.2460,0.4736,0.2784,Fear,0.4682,0.2516,0.3076,0.1124,0.070,52,0,0,0,3,0,0,12,7.5,0,False,,,,,,,,,,,
E60,CANDIDATE,315.700,328.333,12.63,316.800,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.7887,0.6952,0.5929,0.5595,0.4254,0.4013,0.7301,0.6827,0.7887,0.6942,0.4951,0.4648,0.5865,0.5481,Fear,0.8620,0.1189,1.2203,0.1003,0.020,379,0,1,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E61,CONFIRMED,333.433,334.067,0.63,333.700,5,3.8,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3480,0.1920,0.4849,0.2478,0.3446,0.2191,0.5024,0.2483,0.3480,0.1890,0.4244,0.2192,0.4250,0.2213,Fear,0.1772,0.0658,0.1741,0.1861,0.820,10,4,0,2,0,0,1,3,0.0,1,False,,,,,,,,,,,
E62,CONFIRMED,336.400,344.233,7.83,337.067,5,3.9,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.8334,0.5050,0.6009,0.4452,0.4371,0.3463,0.7489,0.5210,0.8334,0.5046,0.6116,0.3752,0.5946,0.4354,Fear,0.4943,0.2888,0.4640,0.1340,3.590,209,3,0,2,0,0,1,21,0.0,7,False,,,,,,,,,,,
E63,CANDIDATE,357.367,361.967,4.60,357.767,4,3.1,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.5685,0.2322,0.5527,0.3608,0.4001,0.2912,0.6361,0.3628,0.5685,0.2322,0.4622,0.3028,0.5446,0.3433,Fear,0.6290,0.1013,0.4845,0.1120,0.820,126,0,0,0,0,0,0,13,0.0,0,False,,,,,,,,,,,
E64,CONFIRMED,363.800,365.000,1.20,364.800,5,3.4,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.2250,0.1287,0.2800,0.1484,0.2447,0.1409,0.2820,0.1434,0.2250,0.1143,0.2709,0.1322,0.2509,0.1297,Fear,0.2768,0.1545,0.2083,0.1501,0.010,2,0,0,0,0,0,0,35,18.9,0,False,,,,,,,,,,,
E65,CONFIRMED,368.033,371.800,3.77,371.200,6,4.3,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5446,0.3242,0.5404,0.3643,0.3968,0.2890,0.6128,0.3941,0.5446,0.3189,0.5536,0.3098,0.5225,0.3372,Surprise,0.2893,0.3457,0.4074,0.1237,2.160,92,9,2,8,0,0,0,3,0.0,1,False,,,,,,,,,,,
E66,CONFIRMED,372.533,374.767,2.23,373.200,5,3.3,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4037,0.2198,0.3261,0.1729,0.2318,0.1413,0.3698,0.2117,0.4037,0.1545,0.2723,0.1486,0.2584,0.1298,Surprise,0.2195,0.2816,0.3646,0.1351,0.660,33,5,8,3,1,0,2,16,10.3,11,False,,,,,,,,,,,
E67,CONFIRMED,375.367,377.033,1.67,375.733,5,4.4,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3526,0.1901,0.3716,0.2116,0.3032,0.1930,0.3829,0.2182,0.3526,0.1837,0.3217,0.1938,0.3519,0.1955,Happiness,0.0163,0.0196,0.1505,0.1280,2.700,25,0,0,11,0,0,0,15,0.0,3,False,,,,,,,,,,,
E68,CANDIDATE,378.433,378.900,0.47,378.800,4,3.3,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2485,0.1942,0.1818,0.1291,0.1938,0.1480,0.2106,0.1614,0.2485,0.1553,0.1470,0.1059,0.1526,0.1113,Surprise,0.1807,0.2943,0.2599,0.1439,0.060,0,11,0,0,0,0,0,4,0.0,0,False,,,,,,,,,,,
E69,CONFIRMED,385.733,386.667,0.93,386.133,5,3.7,"DOM_FEAR,FEAR_THR,TENSION,AROUSAL,CROSS_MODAL",,,,,,0.3376,0.2471,0.4153,0.2442,0.3459,0.2109,0.4014,0.2654,0.3308,0.1809,0.3400,0.2066,0.3880,0.2053,Fear,0.4469,0.1698,0.3663,0.2599,0.510,13,2,7,0,0,0,0,7,0.0,0,False,,,,,,,,,,,
E70,CANDIDATE,387.900,388.200,0.30,387.900,3,3.0,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.2295,0.1378,0.2729,0.2231,0.2425,0.1977,0.2615,0.2077,0.2295,0.1378,0.2574,0.1922,0.2550,0.2041,Fear,0.3499,0.1978,0.1684,0.1574,1.760,6,0,0,0,0,0,0,4,0.0,0,False,,,,,,,,,,,
E71,CANDIDATE,395.067,396.967,1.90,395.067,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4681,0.3159,0.4637,0.3498,0.3421,0.2647,0.4990,0.3815,0.4681,0.2972,0.3845,0.2948,0.4233,0.2913,Fear,0.4755,0.0710,0.3249,0.1161,0.180,55,0,3,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E72,CANDIDATE,405.300,411.067,5.77,409.633,4,3.2,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4115,0.1407,0.5248,0.2694,0.3797,0.2191,0.5346,0.2515,0.4115,0.1221,0.4471,0.2277,0.4982,0.2518,Fear,0.7646,0.0499,0.3641,0.1598,0.580,128,0,9,0,4,0,0,33,0.0,3,False,,,,,,,,,,,
E73,CANDIDATE,411.833,412.200,0.37,411.833,3,3.0,"FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4620,0.3349,0.2645,0.1801,0.2133,0.1564,0.3504,0.2369,0.0000,0.0000,0.2264,0.1489,0.1670,0.1272,Neutral,0.1100,0.0709,0.3273,0.1784,0.330,0,0,11,0,0,0,0,1,0.0,0,False,,,,,,,,,,,
E74,CONFIRMED,414.500,415.533,1.03,414.833,5,3.7,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2828,0.1858,0.2767,0.1773,0.2588,0.1755,0.2898,0.1910,0.2828,0.1803,0.2263,0.1486,0.2524,0.1603,Surprise,0.2522,0.2765,0.3380,0.1335,0.040,12,3,0,0,0,0,0,17,0.0,0,False,,,,,,,,,,,
E75,CONFIRMED,416.333,419.733,3.40,417.133,6,3.7,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.2769,0.1519,0.3564,0.2440,0.3089,0.2181,0.3370,0.2334,0.2769,0.1519,0.3448,0.2155,0.3448,0.2315,Surprise,0.3026,0.3354,0.2379,0.2128,1.380,54,7,0,0,0,0,0,42,0.0,0,False,,,,,,,,,,,
E76,CONFIRMED,424.767,433.367,8.60,427.000,5,3.3,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5965,0.2656,0.6083,0.3671,0.4285,0.2825,0.6696,0.3773,0.5965,0.2656,0.5996,0.3094,0.5977,0.3516,Fear,0.8020,0.1189,0.7399,0.1585,7.550,205,0,0,0,0,0,0,54,2.3,0,False,,,,,,,,,,,
E77,CANDIDATE,434.367,434.900,0.53,434.433,4,3.5,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2594,0.1964,0.3905,0.2598,0.3086,0.2160,0.3843,0.2647,0.2594,0.1964,0.3385,0.2220,0.3632,0.2391,Fear,0.5400,0.1903,0.3515,0.1213,0.660,14,0,0,0,0,0,0,3,11.8,0,False,,,,,,,,,,,
E78,CANDIDATE,435.933,436.700,0.77,435.933,3,2.7,"FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2209,0.1766,0.2084,0.1428,0.1756,0.1281,0.2347,0.1615,0.2209,0.0984,0.2329,0.1303,0.1852,0.1233,Neutral,0.2383,0.0993,0.3111,0.0856,0.020,1,0,0,0,0,0,0,23,0.0,0,False,,,,,,,,,,,
E79,CONFIRMED,438.000,444.833,6.83,438.367,5,3.8,"DOM_FEAR,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3536,0.2179,0.4598,0.2765,0.3535,0.2343,0.4687,0.2834,0.3536,0.2173,0.3847,0.2353,0.4439,0.2591,Fear,0.5062,0.1416,0.3294,0.1227,0.280,152,2,0,0,0,0,0,52,1.0,0,False,,,,,,,,,,,
E80,CANDIDATE,446.067,446.933,0.87,446.233,4,3.8,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3657,0.2221,0.4420,0.3015,0.3354,0.2405,0.4685,0.3091,0.3657,0.2221,0.3780,0.2536,0.4100,0.2790,Fear,0.4916,0.1552,0.3074,0.1226,0.020,22,0,0,0,0,0,0,5,11.1,0,False,,,,,,,,,,,
E81,CONFIRMED,463.533,480.600,17.07,472.767,6,3.8,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5164,0.2233,0.5599,0.2978,0.4035,0.2425,0.6043,0.3043,0.5164,0.2034,0.5205,0.2578,0.5534,0.2786,Neutral,0.2225,0.1116,0.2602,0.2060,4.010,351,5,16,0,0,0,0,141,6.0,0,False,,,,,,,,,,,
E82,CANDIDATE,491.500,491.933,0.43,491.500,3,3.0,"DOM_FEAR,FEAR_THR,CROSS_MODAL",,,,,,0.2051,0.0869,0.3434,0.1655,0.2694,0.1366,0.3101,0.1566,0.2051,0.0869,0.3069,0.1431,0.3280,0.1578,Fear,0.5029,0.1328,0.1369,0.1042,1.210,7,0,0,0,0,0,0,7,42.9,0,False,,,,,,,,,,,
E83,CANDIDATE,494.267,494.833,0.57,494.267,3,3.0,"FEAR_THR,STARTLE,CROSS_MODAL",,,,,,0.1599,0.1109,0.1896,0.1233,0.1698,0.1095,0.1809,0.1228,0.1577,0.0472,0.2999,0.1191,0.1597,0.1003,Neutral,0.1619,0.0677,0.1846,0.1137,0.840,0,0,0,0,0,0,0,18,11.1,0,False,,,,,,,,,,,
E84,CANDIDATE,495.600,498.833,3.23,496.800,4,3.1,"DOM_FEAR,FEAR_THR,STARTLE,CROSS_MODAL",,,,,,0.2816,0.1714,0.3813,0.2570,0.2883,0.2040,0.3764,0.2545,0.2816,0.1576,0.4027,0.2218,0.3554,0.2218,Fear,0.3651,0.0699,0.1633,0.0942,0.490,71,0,0,0,0,0,0,27,4.1,0,False,,,,,,,,,,,
E85,CONFIRMED,499.633,510.300,10.67,500.567,6,4.0,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.6045,0.2886,0.5621,0.3658,0.4027,0.2879,0.6357,0.3842,0.6045,0.2874,0.5735,0.3113,0.5551,0.3408,Surprise,0.3243,0.3456,0.4786,0.0955,0.020,281,7,1,0,0,0,0,32,2.8,0,False,,,,,,,,,,,
E86,CONFIRMED,513.100,515.167,2.07,513.200,5,3.4,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.3536,0.1979,0.4862,0.2925,0.3689,0.2406,0.4929,0.2923,0.3536,0.1929,0.4230,0.2508,0.4689,0.2762,Fear,0.2773,0.1830,0.1615,0.1766,0.010,50,2,0,0,0,0,0,11,6.3,0,False,,,,,,,,,,,
E87,CANDIDATE,515.900,516.800,0.90,515.967,4,3.9,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,CROSS_MODAL",,,,,,0.2067,0.1731,0.2698,0.2175,0.2563,0.2208,0.2690,0.2223,0.2067,0.1731,0.2271,0.1862,0.2633,0.2109,Surprise,0.3033,0.3338,0.2001,0.1049,0.330,10,15,0,0,0,0,0,3,0.0,0,False,,,,,,,,,,,
E88,CONFIRMED,517.733,518.300,0.57,517.967,5,4.3,"DOM_FEAR,DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2646,0.1421,0.3364,0.2182,0.2749,0.2050,0.3392,0.2213,0.2646,0.1421,0.2859,0.1877,0.3180,0.2056,Surprise,0.3443,0.3922,0.3300,0.0311,0.100,8,6,0,0,0,0,0,4,0.0,0,False,,,,,,,,,,,
E89,CONFIRMED,519.733,526.433,6.70,525.233,6,3.8,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.5571,0.2331,0.5707,0.3175,0.4174,0.2526,0.6280,0.3246,0.5571,0.2058,0.5107,0.2777,0.5527,0.2908,Fear,0.4055,0.2617,0.2623,0.2239,1.100,153,1,16,0,0,0,0,32,7.4,0,False,,,,,,,,,,,
E90,CONFIRMED,527.700,529.500,1.80,527.933,5,3.7,"DOM_FEAR,FEAR_THR,TENSION,STARTLE,CROSS_MODAL",,,,,,0.2417,0.1441,0.4162,0.2601,0.3440,0.2215,0.3808,0.2456,0.2417,0.1441,0.3797,0.2309,0.4000,0.2466,Fear,0.5309,0.1217,0.1251,0.2349,2.190,41,0,0,0,0,0,0,14,10.9,0,False,,,,,,,,,,,
E91,CANDIDATE,543.433,543.833,0.40,543.433,3,3.0,"DOM_SURPRISE,FEAR_THR,CROSS_MODAL",,,,,,0.1785,0.1207,0.2280,0.1754,0.2662,0.2259,0.2346,0.1708,0.1785,0.1207,0.1888,0.1452,0.2228,0.1693,Surprise,0.1656,0.3660,0.0246,0.1119,0.120,0,13,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E92,CONFIRMED,544.700,545.467,0.77,544.800,5,4.5,"DOM_SURPRISE,FEAR_THR,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.6000,0.3891,0.2589,0.1737,0.3036,0.2731,0.3246,0.2518,0.6000,0.3891,0.2534,0.1597,0.2463,0.1695,Surprise,0.1336,0.4664,0.1810,0.1076,2.520,0,24,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E93,CANDIDATE,547.933,548.733,0.80,547.967,4,3.4,"DOM_SURPRISE,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.4134,0.3643,0.2179,0.1707,0.2697,0.2468,0.2990,0.2480,0.4134,0.3643,0.1787,0.1432,0.2056,0.1610,Surprise,0.2430,0.5604,0.5732,0.1101,0.120,0,25,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E94,CANDIDATE,552.400,554.033,1.63,552.667,4,3.8,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.3032,0.2614,0.4255,0.3707,0.3406,0.3026,0.4296,0.3706,0.3032,0.2614,0.3495,0.3063,0.4053,0.3494,Fear,0.5341,0.1744,0.3249,0.1555,0.080,50,0,0,0,0,0,0,0,0.0,0,False,,,,,,,,,,,
E95,CANDIDATE,557.933,559.367,1.43,557.967,4,3.8,"DOM_FEAR,FEAR_THR,AROUSAL,CROSS_MODAL",,,,,,0.2649,0.1928,0.3371,0.2960,0.2847,0.2526,0.3301,0.2759,0.2649,0.1928,0.2865,0.2459,0.3226,0.2788,Fear,0.3941,0.1680,0.3011,0.1561,0.100,28,0,0,0,0,0,0,16,0.0,0,False,,,,,,,,,,,
E96,CONFIRMED,565.533,567.367,1.83,567.067,6,3.9,"DOM_SURPRISE,FEAR_THR,TENSION,STARTLE,AROUSAL,CROSS_MODAL",,,,,,0.3808,0.1156,0.5212,0.1276,0.3989,0.1307,0.5261,0.1282,0.3808,0.1109,0.4275,0.1188,0.4902,0.1210,Surprise,0.0862,0.4066,0.1410,0.2007,0.880,16,9,0,0,0,0,0,31,39.3,0,False,,,,,,,,,,,
FN_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
