window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc,gt_bpm
0,0.6,15.6,30.56,CHROM,68.0,68.0,1,5.76,0.69,0.003,902,0.0,0,2026-05-15T10:45:29.228221+00:00,87.2
1,5.59,20.59,35.55,CHROM,60.0,68.0,1,5.22,0.6,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,83.0
2,10.58,25.58,40.54,CHROM,60.0,68.0,1,6.75,0.63,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,82.0
3,15.57,30.56,45.53,CHROM,68.3,68.3,1,5.85,0.61,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,77.2
4,20.56,35.55,50.52,CHROM,71.7,71.0,1,5.78,0.47,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,75.2
5,25.54,40.54,55.5,CHROM,71.6,71.6,1,5.77,0.45,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,72.2
6,30.53,45.53,60.49,CHROM,71.0,71.7,1,5.75,0.39,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,74.0
7,35.52,50.52,65.48,CHROM,71.8,71.6,1,6.24,0.31,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,71.6
8,40.51,55.5,70.47,CHROM,90.8,71.0,1,6.34,0.22,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,70.6
9,45.5,60.49,75.46,CHROM,61.6,62.2,1,5.37,0.11,0.0,902,0.0,0,2026-05-15T10:45:29.228221+00:00,71.0
10,50.48,65.48,80.45,CHROM,62.1,62.2,1,7.44,0.26,0.004,902,0.0,0,2026-05-15T10:45:29.228221+00:00,75.0
11,55.47,70.47,85.44,CHROM,62.2,62.2,1,8.15,0.36,0.004,902,0.0,0,2026-05-15T10:45:29.228221+00:00,78.7
12,60.46,75.46,90.42,CHROM,62.5,62.5,1,7.27,0.33,0.004,902,0.0,0,2026-05-15T10:45:29.228221+00:00,79.0
13,65.45,80.45,95.41,CHROM,64.3,64.3,1,7.26,0.83,0.007,902,0.0,0,2026-05-15T10:45:29.228221+00:00,82.7
