
==============================================================
  Advanced Analysis: 20260518_092016_mp_hs_S02_Vid05_bright.csv
  signal_col=hs_fear  threshold=0.7  min_frames=5  window=10fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 0.00%  (how clean are your triggers?)
  Recall    : 0.00%  (how many scares did you catch?)
  F1-Score  : 0.0000
  Triggers  : 0 total  (0 FP / 0 hit-any-GT)
  GT Events : 0/3 caught  (0 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 Fear       0      3       0%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
00:20  Fear         0.206         0.031            100%
01:15  Fear         0.046         0.007            100%
01:27  Fear         0.221         0.039            100%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.70      15     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.70      15     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.70      15     20     0.00%     0.00%    0.0000          0 <-- BEST F1

   0.75       5  strict     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       5     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       5     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       5     20     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       8  strict     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       8     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       8     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75       8     20     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      10  strict     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      10     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      10     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      10     20     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      12  strict     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      12     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      12     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      12     20     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      15  strict     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      15     10     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      15     15     0.00%     0.00%    0.0000          0 <-- BEST F1
   0.75      15     20     0.00%     0.00%    0.0000          0 <-- BEST F1

