frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
11,0.367,haar,0.0000,Neutral,---,---,,---,0.0004,-0.1114,0.6326,0.1295,0.1656,0.0000,0.0521,0.0531,0.0168,0.0000,0.0424,0.0490,0.0004,0.1295,0.1295,0.0071,0.0000,0.0000,0.0004,0.0000,0.000000,IDLE,1,-0.1135,0.0044,0.0962,0.1407,0.0017,0.0037,0.0032,0.4584,0.3466,0.0189,0.0363,0.0002,0.0002,0.0033,0.0044,0.0012,0.0000,0.0000,0.0000,0.0000,0.0035,0.0090,0.0000,0.0003,0.1656,0.1495,0.1574,0.0596,0.0938,0.0005,0.0004,0.0453,0.6326,0.1623,0.0056,1,1,23.6,42.6,405.6
12,0.400,haar,0.0000,Neutral,---,---,,---,0.0002,-0.0360,0.6049,0.1634,0.6776,0.0438,0.0655,0.0660,0.0420,0.0000,0.0627,0.0590,0.0002,0.1634,0.1634,0.0064,0.0000,0.0000,0.0003,0.0000,0.000000,IDLE,0,-0.2096,0.0056,0.2001,0.2322,0.0014,0.0027,0.0026,0.4155,0.3886,0.0415,0.0549,0.0001,0.0001,0.0044,0.0056,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.6776,0.5561,1.0165,0.0993,0.1146,0.0004,0.0002,0.0444,0.6049,0.1336,0.0026,1,1,23.1,42.6,405.6
13,0.433,haar,0.0000,Neutral,---,---,,---,0.0004,-0.0193,0.6774,0.1422,0.7011,0.0453,0.0571,0.0578,0.0390,0.0000,0.0569,0.0540,0.0004,0.1422,0.1422,0.0076,0.0000,0.0000,0.0005,0.0000,0.000000,IDLE,1,-0.2307,0.0031,0.1944,0.2733,0.0017,0.0062,0.0066,0.3142,0.2121,0.0206,0.0782,0.0000,0.0000,0.0016,0.0031,0.0018,0.0000,0.0000,0.0000,0.0000,0.1057,0.1186,0.0072,0.0141,0.0000,0.7011,0.0000,0.0546,0.1331,0.0004,0.0004,0.0669,0.6774,0.0632,0.0039,1,1,23.8,42.6,405.6
14,0.467,haar,0.0000,Neutral,---,---,,---,0.0005,-0.0304,0.7507,0.1484,0.6408,0.0411,0.0597,0.0607,0.0387,0.0000,0.0576,0.0557,0.0005,0.1484,0.1484,0.0086,0.0000,0.0000,0.0006,0.0000,0.000000,IDLE,1,-0.2396,0.0009,0.1952,0.2856,0.0015,0.0055,0.0039,0.2983,0.2329,0.0150,0.0996,0.0000,0.0000,0.0004,0.0009,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,0.0000,0.6408,0.1875,0.0661,0.0556,0.0006,0.0005,0.0368,0.7507,0.0842,0.0055,1,1,23.7,33.2,406.0
15,0.500,haar,0.0000,Neutral,---,---,,---,0.0004,-0.0712,0.6991,0.1527,1.0554,0.0183,0.0613,0.0621,0.0318,0.0000,0.0671,0.0589,0.0004,0.1527,0.1527,0.0082,0.0000,0.0000,0.0005,0.0000,0.000000,IDLE,0,-0.1834,0.0016,0.1333,0.2366,0.0030,0.0033,0.0016,0.3103,0.2786,0.0289,0.1348,0.0000,0.0000,0.0008,0.0016,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0469,0.0000,0.4163,1.0554,0.1274,0.0388,0.0694,0.0003,0.0004,0.0314,0.6991,0.1561,0.0045,1,1,22.0,33.2,406.0
16,0.533,haar,0.0000,Neutral,---,---,,---,0.0006,-0.1559,0.6113,0.1666,0.3944,0.0000,0.0670,0.0677,0.0191,0.0000,0.0582,0.0656,0.0006,0.1666,0.1666,0.0102,0.0000,0.0000,0.0007,0.0000,0.000000,IDLE,0,-0.1197,0.0010,0.0359,0.2057,0.0162,0.0006,0.0001,0.4987,0.4845,0.0263,0.0846,0.0000,0.0000,0.0006,0.0010,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3944,0.0000,0.0000,0.0000,0.4183,0.0216,0.0890,0.0010,0.0006,0.1382,0.6113,0.1340,0.0043,1,1,22.6,33.2,406.0
17,0.567,haar,0.0000,Neutral,---,---,,---,0.0004,-0.1388,0.5995,0.1660,1.8454,0.0000,0.0666,0.0670,0.0222,0.0000,0.0869,0.0637,0.0004,0.1660,0.1660,0.0082,0.0000,0.0000,0.0005,0.0000,0.000000,IDLE,0,-0.1559,0.0034,0.0829,0.2362,0.0073,0.0015,0.0004,0.3731,0.3258,0.0501,0.1461,0.0000,0.0000,0.0020,0.0034,0.0012,0.0000,0.0000,0.0000,0.0000,0.0260,0.0088,0.0000,0.0000,0.7146,1.8454,0.0000,0.0433,0.0897,0.0007,0.0004,0.0842,0.5995,0.1798,0.0024,1,1,23.4,33.2,406.0
18,0.600,haar,0.0000,Neutral,STRESS,STARTLE,,---,0.0001,-0.0557,0.3209,0.2340,6.4431,0.0602,0.0937,0.0940,0.0591,0.0000,0.1991,0.0923,0.0001,0.2340,0.2340,0.0056,0.0000,0.0000,0.0002,0.0000,0.000000,IDLE,0,-0.1427,0.0688,0.1319,0.3014,0.0036,0.0023,0.0009,0.2971,0.2640,0.1902,0.3609,0.0000,0.0000,0.0421,0.0688,0.0008,0.0000,0.0000,0.0000,0.0000,0.0242,0.0142,0.0000,0.0000,4.2045,6.4431,2.0393,0.0148,0.3075,0.0003,0.0001,0.3138,0.3209,0.0405,0.0020,1,1,23.0,33.2,406.0
19,0.633,haar,0.0000,Happiness,STRESS,---,,---,0.0001,-0.0395,0.3910,0.1865,0.3940,0.0509,0.0747,0.0750,0.0481,0.0000,0.0639,0.0734,0.0001,0.1865,0.1865,0.0051,0.0000,0.0000,0.0002,0.0000,0.000000,IDLE,0,-0.0489,0.1482,0.1224,0.3241,0.0032,0.0024,0.0009,0.2868,0.2673,0.2034,0.2788,0.0000,0.0000,0.1133,0.1482,0.0008,0.0000,0.0000,0.0000,0.0000,0.0010,0.0014,0.0000,0.0011,0.3940,0.0000,0.0000,0.0169,0.3115,0.0006,0.0001,0.3910,0.2335,0.0447,0.0018,1,1,23.3,32.0,406.1
20,0.667,haar,0.0000,Happiness,STRESS,---,,---,0.0001,-0.0422,0.5375,0.2261,1.3489,0.0651,0.0905,0.0908,0.0594,0.0000,0.0948,0.0898,0.0001,0.2261,0.2261,0.0044,0.0000,0.0000,0.0001,0.0000,0.000000,IDLE,0,-0.1341,0.1247,0.1568,0.3875,0.0021,0.0032,0.0012,0.3079,0.2664,0.2208,0.3237,0.0000,0.0000,0.0823,0.1247,0.0009,0.0000,0.0000,0.0000,0.0000,0.0256,0.0088,0.0000,0.0038,0.5217,1.3489,1.1872,0.0075,0.2391,0.0002,0.0001,0.5375,0.2030,0.0108,0.0018,1,1,22.8,32.0,406.1
