frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
36,1.200,haar,0.0334,Happiness,JOY,---,,---,0.0001,0.1110,0.9849,0.0000,1.2645,0.0079,0.000478,IDLE,"333,170,504,364",0.9407,0.9031
37,1.233,haar,0.0331,Happiness,JOY,---,,---,0.0001,0.1098,0.9872,0.0000,0.5733,0.0086,0.000487,IDLE,"333,170,504,364",0.9571,0.8929
38,1.267,haar,0.0294,Happiness,JOY,---,,---,0.0001,0.0979,0.9863,0.0000,0.0056,0.0092,0.000500,IDLE,"333,171,504,364",0.9672,0.8927
39,1.300,haar,0.0246,Happiness,JOY,---,,---,0.0003,0.0812,0.9620,0.0000,0.0039,0.0096,0.000487,IDLE,"333,171,504,365",0.9395,0.8809
40,1.333,haar,0.0000,Neutral,JOY,---,,---,0.0005,-0.0465,0.3181,0.0000,0.0000,0.0093,0.000436,IDLE,"333,173,503,366",0.3698,0.5092
41,1.367,haar,0.0000,Neutral,---,---,,---,0.0006,-0.1485,0.5060,0.1621,1.7873,0.0091,0.000379,IDLE,"333,174,502,365",-0.1962,0.0027
42,1.400,haar,0.0000,Neutral,---,---,,---,0.0004,-0.1720,0.4506,0.1521,0.0275,0.0089,0.000304,IDLE,"334,174,502,365",-0.1979,0.0003
43,1.433,haar,0.0000,Sadness,---,---,,---,0.0004,-0.1630,0.4767,0.1558,0.5003,0.0087,0.000191,IDLE,"334,173,502,365",-0.1961,0.0006
44,1.467,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1673,0.4565,0.1639,0.8467,0.0085,0.000126,IDLE,"334,173,502,365",-0.1988,0.0008
45,1.500,haar,0.0000,Neutral,---,---,,---,0.0002,-0.1065,0.5210,0.1547,0.0065,0.0083,0.000034,IDLE,"334,173,502,365",-0.1915,0.0004
46,1.533,haar,0.0000,Neutral,---,---,,---,0.0003,-0.1925,0.5110,0.1602,0.5953,0.0081,-0.000051,IDLE,"334,173,502,365",-0.1963,0.0004
