frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
11,0.367,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3.6,0.0,351.5
12,0.400,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3.5,0.0,351.5
13,0.434,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3.1,0.0,351.5
14,0.467,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3.6,0.0,351.5
15,0.501,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,4.5,0.0,351.5
16,0.534,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,12.4,0.0,351.5
17,0.567,haar,0.0000,Surprise,---,---,,---,0.1025,0.1742,0.4096,0.0000,0.0000,0.1045,0.0615,0.1229,0.0861,0.1045,0.0512,0.0592,0.1025,0.0000,0.1025,0.0000,0.0805,0.0072,0.000723,IDLE,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0367,0.0174,0.0095,0.1025,0.0577,0.1999,0.1667,0.4096,0,1,107.4,0.0,351.5
18,0.601,haar,0.0000,Surprise,---,---,,---,0.1045,0.1352,0.3952,0.0000,0.0000,0.0811,0.0627,0.1209,0.0793,0.0811,0.0523,0.0609,0.1045,0.0000,0.1045,0.0000,0.0871,0.0135,0.001354,IDLE,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291,0.0211,0.0065,0.1045,0.1228,0.1931,0.1278,0.3952,0,1,24.3,0.0,351.5
19,0.634,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,0.001283,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,16.2,0.0,351.5
20,0.667,none,0.0000,Neutral,---,---,,---,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,0.001219,IDLE,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,18.9,37.8,425.2
