frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
1,0.033,haar,0.0035,Sadness,---,---,AMBIGUOUS,---,0.0016,-0.0836,0.7177,0.1341,0.0000,0.0547,0.000000,IDLE,"271,276,398,421",-0.0314,0.0000
2,0.067,haar,0.0580,Sadness,---,---,AMBIGUOUS,---,0.0013,0.0068,0.6573,0.1348,0.2307,0.0547,0.000000,IDLE,"278,284,405,426",-0.0726,0.0000
3,0.100,haar,0.0529,Sadness,---,---,AMBIGUOUS,---,0.0016,-0.0025,0.6922,0.1359,0.2773,0.0549,0.000000,IDLE,"279,285,406,427",-0.0623,0.0000
4,0.133,haar,0.0567,Sadness,---,---,AMBIGUOUS,---,0.0017,0.0029,0.6898,0.1374,0.0202,0.0551,0.000000,IDLE,"279,285,406,428",-0.0679,0.0000
5,0.167,haar,0.0184,Sadness,---,---,AMBIGUOUS,---,0.0014,-0.0604,0.7549,0.1366,0.0246,0.0552,0.000000,IDLE,"279,285,405,427",-0.0649,0.0000
6,0.200,haar,0.0911,Sadness,---,---,AMBIGUOUS,---,0.0023,0.0629,0.6345,0.1335,0.0081,0.0551,0.000000,IDLE,"278,285,404,427",-0.0646,0.0000
7,0.233,haar,0.1132,Sadness,---,---,AMBIGUOUS,---,0.0015,0.1022,0.5729,0.1296,0.0029,0.0548,0.000000,IDLE,"277,284,404,427",-0.0570,0.0000
8,0.267,haar,0.0815,Sadness,---,---,AMBIGUOUS,---,0.0013,0.0485,0.6513,0.1310,0.0000,0.0545,0.000000,IDLE,"277,284,404,426",-0.0645,0.0000
9,0.300,haar,0.0930,Sadness,---,---,AMBIGUOUS,---,0.0020,0.0698,0.5711,0.1278,0.0318,0.0543,0.000000,IDLE,"277,283,403,426",-0.0581,0.0000
10,0.333,haar,0.0170,Sadness,---,---,AMBIGUOUS,---,0.0021,-0.0575,0.6833,0.1288,0.0416,0.0541,-0.000057,IDLE,"277,283,403,426",-0.0801,0.0000
11,0.367,haar,0.0236,Sadness,---,---,AMBIGUOUS,---,0.0023,-0.0446,0.6441,0.1259,0.0000,0.0539,-0.000082,IDLE,"276,281,403,425",-0.0863,0.0000
12,0.400,haar,0.0179,Sadness,---,---,AMBIGUOUS,---,0.0015,-0.0512,0.6728,0.1216,0.0462,0.0535,-0.000140,IDLE,"276,281,402,424",-0.0799,0.0000
13,0.433,haar,0.0265,Sadness,---,---,AMBIGUOUS,---,0.0009,-0.0381,0.7211,0.1236,0.0183,0.0532,-0.000193,IDLE,"276,280,402,424",-0.0828,0.0000
14,0.467,haar,0.1352,Sadness,---,---,AMBIGUOUS,---,0.0008,0.1406,0.4831,0.1269,0.0580,0.0531,-0.000211,IDLE,"276,280,402,424",-0.0833,0.0000
15,0.500,haar,0.1362,Sadness,---,---,AMBIGUOUS,---,0.0008,0.1406,0.4831,0.1295,0.0109,0.0530,-0.000207,IDLE,"276,280,402,424",-0.0876,0.0000
16,0.533,haar,0.2602,Anger,---,---,AMBIGUOUS,---,0.0005,0.3481,0.6971,0.1285,0.0439,0.0529,-0.000181,IDLE,"276,280,402,424",-0.0870,0.0000
17,0.567,haar,0.2500,Anger,---,---,AMBIGUOUS,---,0.0009,0.3344,0.7471,0.1234,0.0476,0.0528,-0.000178,IDLE,"277,280,402,423",-0.0909,0.0000
18,0.600,haar,0.2495,Anger,---,---,AMBIGUOUS,---,0.0009,0.3344,0.7471,0.1221,0.0086,0.0526,-0.000171,IDLE,"277,279,402,423",-0.0890,0.0000
19,0.633,haar,0.2457,Anger,---,---,AMBIGUOUS,---,0.0006,0.3269,0.7381,0.1238,0.0113,0.0524,-0.000168,IDLE,"277,279,402,423",-0.0920,0.0000
20,0.667,haar,0.2214,Anger,---,---,AMBIGUOUS,---,0.0006,0.2849,0.7098,0.1260,0.0468,0.0523,-0.000153,IDLE,"278,280,403,423",-0.0984,0.0000
21,0.700,haar,0.2216,Anger,---,---,AMBIGUOUS,---,0.0006,0.2849,0.7098,0.1266,0.0105,0.0523,-0.000121,IDLE,"278,279,403,423",-0.0990,0.0000
22,0.733,haar,0.2571,Anger,---,---,AMBIGUOUS,---,0.0010,0.3457,0.7598,0.1242,0.0040,0.0522,-0.000103,IDLE,"278,279,403,422",-0.1028,0.0000
23,0.767,haar,0.2519,Anger,---,---,AMBIGUOUS,---,0.0009,0.3373,0.7598,0.1238,0.0756,0.0521,-0.000099,IDLE,"279,279,404,422",-0.0958,0.0000
24,0.800,haar,0.2519,Anger,---,---,AMBIGUOUS,---,0.0009,0.3373,0.7598,0.1239,0.0226,0.0520,-0.000102,IDLE,"279,279,404,422",-0.0962,0.0000
25,0.833,haar,0.3283,Anger,---,---,AMBIGUOUS,---,0.0002,0.4637,0.8710,0.1252,0.0422,0.0519,-0.000101,IDLE,"280,279,405,422",-0.1040,0.0000
26,0.867,haar,0.3368,Anger,---,---,AMBIGUOUS,---,0.0003,0.4744,0.8682,0.1305,0.0336,0.0519,-0.000081,IDLE,"281,279,405,422",-0.1136,0.0000
27,0.900,haar,0.3380,Anger,---,---,AMBIGUOUS,---,0.0003,0.4744,0.8682,0.1335,0.0159,0.0520,-0.000056,IDLE,"281,279,406,422",-0.1177,0.0000
28,0.933,haar,0.3385,Anger,---,---,AMBIGUOUS,---,0.0003,0.4763,0.8818,0.1319,0.0126,0.0520,-0.000038,IDLE,"282,279,406,422",-0.1156,0.0000
29,0.967,haar,0.3006,Anger,---,---,AMBIGUOUS,---,0.0004,0.4117,0.8483,0.1340,0.0117,0.0521,-0.000024,IDLE,"282,279,407,422",-0.1203,0.0000
30,1.000,haar,0.3005,Anger,---,---,AMBIGUOUS,---,0.0004,0.4117,0.8483,0.1338,0.0215,0.0522,-0.000011,IDLE,"282,279,408,422",-0.1197,0.0000
31,1.033,haar,0.2720,Anger,---,---,AMBIGUOUS,---,0.0009,0.3621,0.8038,0.1369,0.0117,0.0523,0.000008,IDLE,"283,279,408,422",-0.1194,0.0000
32,1.067,haar,0.2728,Anger,---,---,AMBIGUOUS,---,0.0009,0.3621,0.8038,0.1387,0.0299,0.0524,0.000030,IDLE,"283,279,408,422",-0.1291,0.0000
33,1.100,haar,0.2375,Anger,---,---,AMBIGUOUS,---,0.0008,0.3030,0.7697,0.1393,0.0916,0.0525,0.000050,IDLE,"284,278,409,422",-0.1243,0.0000
34,1.133,haar,0.2501,Anger,---,---,AMBIGUOUS,---,0.0008,0.3219,0.7890,0.1425,0.0703,0.0526,0.000072,IDLE,"284,278,410,422",-0.1143,0.0000
35,1.167,haar,0.2885,Anger,---,---,AMBIGUOUS,---,0.0013,0.3864,0.8277,0.1417,0.0137,0.0528,0.000084,IDLE,"285,278,411,422",-0.1154,0.0000
36,1.200,haar,0.2895,Anger,---,---,AMBIGUOUS,---,0.0013,0.3864,0.8277,0.1441,0.0344,0.0529,0.000093,IDLE,"286,278,412,422",-0.1290,0.0000
37,1.233,haar,0.3184,Anger,---,---,AMBIGUOUS,---,0.0007,0.4334,0.8714,0.1459,0.0473,0.0531,0.000106,IDLE,"286,277,412,422",-0.1312,0.0000
38,1.267,haar,0.2732,Anger,---,---,AMBIGUOUS,---,0.0012,0.3587,0.8170,0.1450,0.0553,0.0532,0.000114,IDLE,"287,277,412,422",-0.1330,0.0000
39,1.300,haar,0.2728,Anger,---,---,AMBIGUOUS,---,0.0012,0.3587,0.8170,0.1439,0.0123,0.0534,0.000121,IDLE,"287,277,412,421",-0.1362,0.0000
40,1.333,haar,0.2649,Anger,---,---,AMBIGUOUS,---,0.0009,0.3456,0.8223,0.1439,0.0086,0.0535,0.000123,IDLE,"287,276,412,421",-0.1336,0.0000
41,1.367,haar,0.2367,Anger,CONC,---,AMBIGUOUS,---,0.0006,0.3697,0.8302,0.0370,0.0069,0.0526,0.000018,IDLE,"287,276,412,421",-0.1639,0.0000
42,1.400,haar,0.2370,Anger,CONC,---,AMBIGUOUS,---,0.0006,0.3697,0.8302,0.0380,0.0045,0.0517,-0.000082,IDLE,"287,276,412,420",-0.1821,0.0000
43,1.433,haar,0.3019,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4791,0.8950,0.0359,0.0124,0.0508,-0.000183,IDLE,"287,275,412,420",-0.1742,0.0000
44,1.467,haar,0.3020,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4791,0.8950,0.0362,0.0151,0.0500,-0.000278,IDLE,"287,275,412,420",-0.1852,0.0000
45,1.500,haar,0.2775,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4389,0.8692,0.0354,0.0659,0.0492,-0.000373,IDLE,"287,274,412,420",-0.1699,0.0000
46,1.533,haar,0.2499,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3927,0.8421,0.0357,0.0429,0.0485,-0.000464,IDLE,"287,274,412,420",-0.1746,0.0000
47,1.567,haar,0.2200,Anger,CONC,---,AMBIGUOUS,---,0.0010,0.3423,0.7934,0.0365,0.0246,0.0478,-0.000549,IDLE,"287,274,412,420",-0.1827,0.0000
48,1.600,haar,0.2201,Anger,CONC,---,AMBIGUOUS,---,0.0010,0.3423,0.7934,0.0369,0.0119,0.0471,-0.000629,IDLE,"286,274,412,419",-0.1948,0.0000
49,1.633,haar,0.1984,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.3056,0.7728,0.0376,0.0235,0.0464,-0.000706,IDLE,"286,274,411,419",-0.2048,0.0000
50,1.667,haar,0.2246,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3490,0.8049,0.0381,0.0216,0.0458,-0.000674,IDLE,"286,274,411,419",-0.2130,0.0000
