frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
35,1.168,haar,0.0737,Anger,STRESS,---,,---,0.0520,0.0640,0.3149,0.3256,0.0190,0.0093,0.000707,IDLE,"113,66,201,176",-0.5651,0.0018
36,1.201,haar,0.1030,Anger,STRESS,---,,---,0.0532,0.1348,0.3392,0.3257,0.1628,0.0119,0.000975,IDLE,"113,66,201,176",-0.5547,0.0026
37,1.235,haar,0.0734,Anger,STRESS,---,,---,0.0419,0.0865,0.3436,0.3267,0.0098,0.0135,0.001149,IDLE,"113,66,202,176",-0.5615,0.0030
38,1.268,mp,0.0055,Sadness,STRESS,---,,---,0.0200,-0.0329,0.3517,0.3245,0.0000,0.0133,0.001135,IDLE,"113,66,202,176",-0.5646,0.0028
39,1.301,haar,0.0000,Sadness,STRESS,---,,---,0.0093,-0.2004,0.4837,0.3123,0.0808,0.0130,0.001008,IDLE,"113,66,202,176",-0.5374,0.0024
40,1.335,mp,0.0000,Neutral,---,---,,---,0.0093,-0.0714,0.3318,0.3034,0.0821,0.0127,0.000914,IDLE,"113,65,202,176",-0.5136,0.0017
41,1.368,haar,0.0258,Sadness,STRESS,---,,---,0.0389,-0.0251,0.3857,0.3095,0.9700,0.0130,0.000814,IDLE,"113,65,202,177",-0.5025,0.0031
42,1.401,haar,0.0984,Sadness,STRESS,---,,---,0.0584,0.1145,0.2603,0.3070,0.2484,0.0150,0.000855,IDLE,"113,65,202,177",-0.4847,0.0075
43,1.435,haar,0.1223,Sadness,STRESS,---,,---,0.0821,0.1186,0.2755,0.3138,0.3284,0.0175,0.001013,IDLE,"113,65,202,177",-0.4983,0.0117
44,1.468,haar,0.1820,Surprise,STRESS,---,,---,0.1064,0.2130,0.2992,0.3153,0.0508,0.0212,0.001197,IDLE,"113,65,202,177",-0.5086,0.0147
45,1.502,haar,0.1863,Surprise,STRESS,---,,---,0.1058,0.2239,0.2931,0.3194,0.4570,0.0249,0.001304,IDLE,"113,65,202,177",-0.5083,0.0198
46,1.535,haar,0.1780,Anger,STRESS,---,,---,0.1022,0.2120,0.2505,0.3170,0.2979,0.0282,0.001471,IDLE,"113,65,202,177",-0.4950,0.0207
47,1.568,haar,0.0999,Anger,STRESS,---,,---,0.0636,0.1049,0.2607,0.3144,0.0121,0.0298,0.001644,IDLE,"113,65,202,176",-0.4948,0.0173
48,1.602,haar,0.1010,Anger,STRESS,---,,---,0.0714,0.0894,0.2649,0.3153,0.1675,0.0312,0.001827,IDLE,"113,65,202,176",-0.5040,0.0146
49,1.635,haar,0.0000,Sadness,STRESS,---,,---,0.0226,-0.1068,0.4826,0.3290,0.2544,0.0306,0.001796,IDLE,"113,64,201,176",-0.5460,0.0093
50,1.668,haar,0.0322,Neutral,STRESS,---,,---,0.0324,0.0056,0.3352,0.3235,0.0000,0.0306,0.001767,IDLE,"113,64,201,175",-0.5577,0.0050
51,1.702,haar,0.0000,Sadness,---,---,,---,0.0143,-0.0766,0.3781,0.3244,0.0267,0.0298,0.001482,IDLE,"113,64,202,174",-0.5695,0.0037
52,1.735,haar,0.0026,Sadness,---,---,,---,0.0256,-0.0531,0.3735,0.3226,0.0002,0.0295,0.001205,IDLE,"113,63,201,174",-0.5690,0.0030
53,1.768,haar,0.0000,Sadness,---,---,,---,0.0110,-0.0827,0.4021,0.3258,0.3116,0.0295,0.000831,IDLE,"113,63,201,173",-0.5754,0.0032
54,1.802,haar,0.0000,Sadness,---,---,,---,0.0121,-0.0867,0.4460,0.3266,0.1708,0.0295,0.000464,IDLE,"113,63,201,173",-0.5717,0.0034
55,1.835,haar,0.0000,Sadness,STRESS,---,,---,0.0110,-0.1104,0.3948,0.3338,0.4370,0.0295,0.000131,IDLE,"113,62,200,173",-0.5786,0.0039
56,1.869,haar,0.0000,Sadness,STRESS,---,,---,0.0169,-0.0404,0.4551,0.3379,0.3336,0.0295,-0.000021,IDLE,"113,62,200,173",-0.5757,0.0041
57,1.902,haar,0.0000,Sadness,STRESS,---,,---,0.0188,-0.0943,0.4888,0.3349,0.1093,0.0295,-0.000170,IDLE,"113,63,199,173",-0.5616,0.0037
58,1.935,haar,0.0077,Sadness,STRESS,---,,---,0.0201,-0.0276,0.3570,0.3357,0.1461,0.0297,-0.000090,IDLE,"113,63,199,173",-0.5551,0.0039
59,1.969,mp,0.0488,Disgust,STRESS,---,,---,0.0172,0.0820,0.4195,0.3331,0.0961,0.0307,0.000004,IDLE,"113,63,199,173",-0.5468,0.0033
60,2.002,mp,0.0507,Disgust,STRESS,---,,---,0.0176,0.0856,0.4186,0.3346,0.0831,0.0317,0.000187,IDLE,"113,63,198,173",-0.5459,0.0030
61,2.035,mp,0.0540,Disgust,STRESS,---,,---,0.0158,0.0981,0.4275,0.3339,0.0649,0.0328,0.000323,IDLE,"113,63,198,173",-0.5370,0.0029
