frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
11,0.367,haar,0.0236,Sadness,---,---,AMBIGUOUS,---,0.0023,-0.0446,0.6441,0.1259,0.0000,0.0236,0.0517,0.0515,0.0300,0.0000,0.0389,0.0366,0.0539,-0.000082,IDLE,0,-0.0863,0.0000,0.0824,0.0875,0.0007,0.0041,0.0043,0.4571,0.4684,0.0102,0.0044,0.0011,0.0016,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2922,0.0006,0.0005,0.0023,0.0000,0.0593,0.6441,0.0009,1,1,82.6,22.5,338.1
12,0.400,haar,0.0179,Sadness,---,---,AMBIGUOUS,---,0.0015,-0.0512,0.6728,0.1216,0.0462,0.0179,0.0495,0.0494,0.0270,0.0000,0.0381,0.0361,0.0535,-0.000140,IDLE,0,-0.0799,0.0000,0.0706,0.0867,0.0008,0.0036,0.0038,0.4571,0.4387,0.0111,0.0059,0.0011,0.0015,0.0000,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0288,0.0462,0.0000,0.2704,0.0006,0.0003,0.0015,0.0000,0.0537,0.6728,0.0006,1,1,35.5,22.5,338.1
13,0.433,haar,0.0265,Sadness,---,---,AMBIGUOUS,---,0.0009,-0.0381,0.7211,0.1236,0.0183,0.0265,0.0500,0.0499,0.0299,0.0000,0.0379,0.0381,0.0532,-0.000193,IDLE,0,-0.0828,0.0000,0.0701,0.0930,0.0008,0.0033,0.0033,0.4705,0.4391,0.0104,0.0066,0.0011,0.0015,0.0000,0.0000,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0085,0.0000,0.0183,0.0589,0.2382,0.0005,0.0006,0.0009,0.0000,0.0381,0.7211,0.0006,1,1,27.2,22.5,338.1
14,0.467,haar,0.1352,Sadness,---,---,AMBIGUOUS,---,0.0008,0.1406,0.4831,0.1269,0.0580,0.1352,0.0512,0.0512,0.0666,0.0000,0.0396,0.0280,0.0531,-0.000211,IDLE,0,-0.0833,0.0000,0.0704,0.0937,0.0008,0.0033,0.0034,0.4975,0.4373,0.0124,0.0066,0.0011,0.0015,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0019,0.0110,0.0580,0.0018,0.1012,0.4541,0.0014,0.0004,0.0008,0.0000,0.0595,0.4831,0.0007,1,1,17.6,22.5,338.1
15,0.500,haar,0.1362,Sadness,---,---,AMBIGUOUS,---,0.0008,0.1406,0.4831,0.1295,0.0109,0.1362,0.0523,0.0523,0.0674,0.0000,0.0395,0.0285,0.0530,-0.000207,IDLE,0,-0.0876,0.0000,0.0733,0.0995,0.0008,0.0035,0.0033,0.5087,0.4392,0.0127,0.0067,0.0010,0.0014,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0053,0.0000,0.0000,0.0082,0.0109,0.0016,0.0783,0.4541,0.0014,0.0004,0.0008,0.0000,0.0595,0.4831,0.0007,1,1,20.4,22.5,338.1
16,0.533,haar,0.2602,Anger,---,---,AMBIGUOUS,---,0.0005,0.3481,0.6971,0.1285,0.0439,0.2602,0.0517,0.0518,0.1084,0.0000,0.0397,0.0157,0.0529,-0.000181,IDLE,0,-0.0870,0.0000,0.0717,0.1002,0.0009,0.0043,0.0042,0.5095,0.4207,0.0142,0.0072,0.0009,0.0012,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0251,0.0275,0.0018,0.0000,0.0439,0.0174,0.0000,0.6971,0.0025,0.0006,0.0005,0.0000,0.0449,0.2538,0.0006,1,1,21.3,22.5,338.1
17,0.567,haar,0.2500,Anger,---,---,AMBIGUOUS,---,0.0009,0.3344,0.7471,0.1234,0.0476,0.2500,0.0499,0.0498,0.1043,0.0000,0.0384,0.0126,0.0528,-0.000178,IDLE,0,-0.0909,0.0000,0.0738,0.1056,0.0009,0.0059,0.0058,0.5135,0.3478,0.0145,0.0085,0.0010,0.0015,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0476,0.0461,0.0000,0.0000,0.0095,0.0387,0.0000,0.7471,0.0017,0.0006,0.0009,0.0000,0.0456,0.2035,0.0007,1,1,19.6,22.5,338.1
18,0.600,haar,0.2495,Anger,---,---,AMBIGUOUS,---,0.0009,0.3344,0.7471,0.1221,0.0086,0.2495,0.0494,0.0493,0.1040,0.0000,0.0372,0.0125,0.0526,-0.000171,IDLE,0,-0.0890,0.0000,0.0704,0.1056,0.0009,0.0061,0.0061,0.5094,0.3451,0.0141,0.0078,0.0008,0.0012,0.0000,0.0000,0.0072,0.0000,0.0000,0.0000,0.0000,0.0078,0.0086,0.0005,0.0084,0.0000,0.0000,0.0000,0.7471,0.0017,0.0006,0.0009,0.0000,0.0456,0.2035,0.0007,1,1,18.4,22.5,338.1
19,0.633,haar,0.2457,Anger,---,---,AMBIGUOUS,---,0.0006,0.3269,0.7381,0.1238,0.0113,0.2457,0.0499,0.0499,0.1028,0.0000,0.0377,0.0131,0.0524,-0.000168,IDLE,0,-0.0920,0.0000,0.0723,0.1099,0.0009,0.0059,0.0056,0.5062,0.3596,0.0140,0.0075,0.0007,0.0011,0.0000,0.0000,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,0.0000,0.0000,0.0506,0.7381,0.0017,0.0004,0.0006,0.0000,0.0451,0.2135,0.0005,1,1,19.9,22.5,338.1
20,0.667,haar,0.2214,Anger,---,---,AMBIGUOUS,---,0.0006,0.2849,0.7098,0.1260,0.0468,0.2214,0.0508,0.0507,0.0951,0.0000,0.0390,0.0147,0.0523,-0.000153,IDLE,0,-0.0984,0.0000,0.0755,0.1193,0.0008,0.0056,0.0053,0.5056,0.3624,0.0155,0.0082,0.0008,0.0012,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0468,0.0211,0.0666,0.7098,0.0021,0.0004,0.0006,0.0000,0.0621,0.2245,0.0005,1,1,21.5,22.5,338.1
