formula,f1
f0,0.5411764705882354
f0_rppg,0.5647058823529412
f1,0.5800000000000001
f1_rppg,0.5806451612903226
f2,0.4657534246575343
f2_rppg,0.5000000000000001
f3,0.6923076923076923
f3_rppg,0.6923076923076923
f4,0.6458333333333334
f4_rppg,0.6458333333333334
f5,0.6021505376344085
f5_rppg,0.6250000000000001
f6,0.5918367346938775
f6_rppg,0.5918367346938775
f7,0.6333333333333334
f7_rppg,0.6229508196721312
f8,0.05660377358490566
f8_rppg,0.052631578947368425
f9,0.6280991735537191
f9_rppg,0.6129032258064516
f10,0.3880597014925373
f10_rppg,0.3880597014925373
f11,0.6037735849056604
f11_rppg,0.5981308411214954
f12,0.7191011235955056
f12_rppg,0.7021276595744681
f13,0.616822429906542
f13_rppg,0.6111111111111112
