window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
17,72.94,91.44,109.93,POS,128.2,74.0,1,3.01,0.15,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
18,79.1,97.6,116.1,POS,88.0,74.0,1,2.76,0.14,0.016,739,0.0,0,2026-05-02T17:05:46.502591+00:00
19,85.27,103.77,122.26,POS,53.2,70.7,1,4.31,0.26,0.018,739,0.0,0,2026-05-02T17:05:46.502591+00:00
20,91.44,109.93,128.43,POS,70.7,70.1,1,3.81,0.43,0.083,739,0.0,0,2026-05-02T17:05:46.502591+00:00
21,97.6,116.1,134.6,POS,70.1,70.1,1,3.43,0.42,0.073,739,0.0,0,2026-05-02T17:05:46.502591+00:00
0,0.61,13.34,25.62,GREEN,56.1,56.1,1,6.84,254.21,0.026,739,0.0,0,2026-05-02T17:05:46.502591+00:00
1,5.16,17.44,29.71,GREEN,48.0,56.1,1,4.07,43.52,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
2,9.26,21.53,33.8,GREEN,60.3,56.1,1,4.41,45.11,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
3,13.34,25.62,37.89,GREEN,60.4,52.1,1,3.99,44.3,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
4,17.44,29.71,41.98,GREEN,48.1,52.1,1,3.36,33.01,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
5,21.53,33.8,46.07,GREEN,52.1,52.1,1,4.13,37.56,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
6,25.62,37.89,50.16,GREEN,47.5,52.1,1,6.03,99.86,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
7,29.71,41.98,54.25,GREEN,76.3,76.2,1,4.18,179.14,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
8,33.8,46.07,58.34,GREEN,76.4,76.3,1,3.74,178.58,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
9,37.89,50.16,62.43,GREEN,76.2,76.3,1,3.33,186.73,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
10,41.98,54.25,66.77,GREEN,76.3,76.3,1,4.17,206.0,0.0,739,0.0,0,2026-05-02T17:05:46.502591+00:00
11,46.07,58.34,72.94,GREEN,76.4,76.3,1,4.42,211.46,0.001,739,0.0,0,2026-05-02T17:05:46.502591+00:00
12,50.16,62.43,79.1,GREEN,76.3,76.3,1,3.52,154.26,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
13,54.25,66.77,85.27,GREEN,52.0,52.0,1,4.89,100.18,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
14,58.34,72.94,91.44,GREEN,51.9,52.0,1,4.82,105.63,0.003,739,0.0,0,2026-05-02T17:05:46.502591+00:00
15,62.43,79.1,97.6,GREEN,52.0,51.9,1,7.33,172.98,0.012,739,0.0,0,2026-05-02T17:05:46.502591+00:00
16,66.77,85.27,103.77,GREEN,51.5,51.5,1,6.6,158.03,0.019,739,0.0,0,2026-05-02T17:05:46.502591+00:00
