window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc,gt_bpm
0,0.6,15.87,30.83,CHROM,64.3,64.3,1,2.38,1.45,0.107,901,0.0,0,2026-05-02T13:24:48.337726+00:00,87.0
1,5.89,20.85,35.82,CHROM,70.1,64.3,1,5.99,0.19,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00,89.0
2,10.88,25.84,40.81,CHROM,64.0,64.0,1,7.23,0.2,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00,96.2
3,15.87,30.83,45.79,CHROM,63.2,64.0,1,7.44,0.19,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00,99.0
4,20.85,35.82,50.78,CHROM,62.7,64.0,1,8.08,0.2,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00,95.8
5,25.84,40.81,55.77,CHROM,65.8,65.8,1,5.67,0.15,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00,91.9
6,30.83,45.79,60.76,CHROM,66.0,66.0,1,6.49,0.14,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00,92.0
7,35.82,50.78,65.75,CHROM,66.2,66.2,1,5.51,0.15,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,91.9
8,40.81,55.77,70.73,CHROM,92.9,92.9,1,5.3,0.12,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,90.1
9,45.79,60.76,75.72,CHROM,98.0,98.0,1,6.61,0.18,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,96.9
10,50.78,65.75,80.71,CHROM,98.2,98.1,1,9.0,0.22,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,96.1
11,55.77,70.73,85.7,CHROM,98.1,98.2,1,9.75,0.22,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,97.0
12,60.76,75.72,90.69,CHROM,98.2,98.2,1,7.44,0.2,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00,97.0
