window_idx,t_start,t_center,t_end,algorithm,bpm,bpm_smoothed,bpm_plausible,snr,prominence,motion_pct,n_face_frames,bpm_spread,n_eligible,session_start_utc
39,195.44,210.41,225.37,CHROM,57.6,56.4,1,7.21,1.42,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
40,200.43,215.4,230.36,CHROM,50.5,56.2,1,5.28,1.51,0.003,901,0.0,0,2026-05-02T13:24:48.337726+00:00
41,205.42,220.38,235.35,CHROM,56.4,56.4,1,10.8,1.58,0.002,901,0.0,0,2026-05-02T13:24:48.337726+00:00
42,210.41,225.37,240.34,CHROM,56.2,56.4,1,9.22,1.47,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
43,215.4,230.36,245.32,CHROM,66.0,64.2,1,8.13,1.3,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
44,220.38,235.35,250.31,CHROM,65.9,64.9,1,8.93,1.3,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
45,225.37,240.34,255.3,CHROM,64.2,64.9,1,10.41,1.72,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
46,230.36,245.32,260.29,CHROM,64.9,64.2,1,7.85,1.09,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
47,235.35,250.31,265.28,CHROM,55.7,62.3,1,7.21,0.9,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
48,240.34,255.3,270.27,CHROM,62.3,55.7,1,5.7,1.57,0.0,901,0.0,0,2026-05-02T13:24:48.337726+00:00
49,245.32,260.29,275.26,CHROM,51.8,55.7,1,5.42,1.35,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
50,250.31,265.28,280.24,CHROM,51.7,51.8,1,5.2,1.22,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
51,255.3,270.27,285.23,CHROM,62.6,51.7,1,5.65,1.1,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
52,260.29,275.26,290.22,CHROM,51.3,51.3,1,5.67,1.18,0.033,901,0.0,0,2026-05-02T13:24:48.337726+00:00
0,0.6,15.87,30.83,POS,70.7,70.7,1,3.72,2.83,0.107,901,0.0,0,2026-05-02T13:24:48.337726+00:00
1,5.89,20.85,35.82,POS,70.0,70.0,1,3.55,0.59,0.019,901,0.0,0,2026-05-02T13:24:48.337726+00:00
