# session_start_utc=2026-05-02T13:24:48.337726+00:00
frame_idx,timestamp,r,g,b,face_detected,bbox
113,4.4268,65.652,37.551,37.029,1,"282,182,429,280"
114,4.4586,66.392,37.484,37.351,1,"279,178,426,276"
115,4.4907,65.166,36.513,36.108,1,"282,178,422,272"
116,4.5266,0.0,0.0,0.0,0,
117,4.5586,0.0,0.0,0.0,0,
118,4.5907,0.0,0.0,0.0,0,
119,4.6267,0.0,0.0,0.0,0,
120,4.6586,0.0,0.0,0.0,0,
121,4.6906,0.0,0.0,0.0,0,
122,4.7266,0.0,0.0,0.0,0,
123,4.7588,0.0,0.0,0.0,0,
124,4.7909,0.0,0.0,0.0,0,
125,4.8266,0.0,0.0,0.0,0,
126,4.8591,0.0,0.0,0.0,0,
127,4.8908,69.583,39.671,38.455,1,"285,202,409,284"
128,4.9266,75.935,44.14,42.684,1,"280,201,409,287"
129,4.9587,78.26,46.748,44.322,1,"285,200,417,288"
130,4.9907,80.447,47.474,45.432,1,"287,200,419,288"
131,5.0228,83.948,50.951,48.063,1,"286,187,421,278"
132,5.0586,85.851,52.349,48.556,1,"289,182,424,272"
133,5.0913,86.733,53.03,48.957,1,"289,175,430,269"
134,5.1226,86.074,52.293,49.516,1,"293,176,430,267"
135,5.1586,86.148,52.526,49.062,1,"294,176,432,267"
136,5.1906,89.49,54.958,51.136,1,"292,175,435,270"
137,5.2227,88.152,54.648,50.292,1,"295,181,427,269"
138,5.2588,90.128,55.594,52.081,1,"295,182,427,270"
139,5.2907,90.924,55.996,52.315,1,"296,182,429,271"
140,5.3226,92.649,56.779,53.876,1,"295,176,429,265"
141,5.3587,94.147,57.883,54.124,1,"296,169,431,260"
142,5.3907,94.172,57.556,54.326,1,"295,166,427,254"
143,5.4229,93.927,57.675,54.284,1,"294,163,429,253"
144,5.4586,93.864,57.867,54.297,1,"294,164,429,254"
145,5.4906,93.783,57.884,54.335,1,"294,166,426,254"
146,5.5226,95.043,59.007,55.507,1,"295,167,431,257"
147,5.5548,96.439,60.323,56.202,1,"292,167,428,257"
148,5.5908,97.524,60.664,57.048,1,"292,167,426,256"
149,5.6228,96.752,59.988,56.253,1,"293,167,422,253"
150,5.6548,93.914,57.524,54.526,1,"297,170,419,251"
151,5.6907,96.614,60.131,56.441,1,"294,161,420,246"
152,5.7227,96.936,60.45,57.039,1,"294,158,424,245"
153,5.7548,96.27,59.978,56.228,1,"293,162,420,247"
154,5.7906,95.359,58.868,55.552,1,"293,168,419,252"
155,5.8226,97.489,61.021,56.926,1,"290,166,421,253"
156,5.8547,97.769,61.172,57.291,1,"291,167,423,255"
157,5.8907,96.577,60.298,56.213,1,"292,171,424,259"
158,5.9227,96.501,60.27,56.691,1,"292,168,423,255"
159,5.9547,95.863,59.885,56.028,1,"292,166,424,254"
160,5.9909,95.086,58.824,55.514,1,"295,166,421,251"
161,6.0228,95.01,58.966,55.311,1,"293,165,421,251"
162,6.0548,94.116,57.988,54.811,1,"294,168,417,250"
163,6.0866,95.235,59.286,55.547,1,"293,166,424,253"
164,6.1226,97.118,60.268,56.918,1,"292,165,421,251"
165,6.1546,96.557,60.168,56.506,1,"294,167,423,253"
166,6.1866,98.172,61.304,57.779,1,"292,165,420,251"
167,6.2227,97.526,61.004,57.061,1,"293,164,425,252"
168,6.2546,96.276,60.087,56.369,1,"295,164,423,250"
169,6.2868,93.877,58.087,54.366,1,"297,168,422,251"
170,6.3227,94.873,58.805,55.457,1,"297,164,424,249"
171,6.3547,94.743,58.964,55.112,1,"295,163,421,246"
172,6.3867,94.636,58.288,55.084,1,"295,168,424,253"
173,6.4227,95.735,59.575,55.775,1,"293,166,423,253"
174,6.4546,96.37,59.757,56.038,1,"292,167,424,255"
175,6.4867,96.264,59.994,55.954,1,"291,166,423,254"
176,6.5229,96.241,59.554,56.021,1,"289,165,418,250"
177,6.5549,96.008,59.726,55.528,1,"289,161,416,246"
178,6.5867,96.731,60.06,56.526,1,"288,157,417,243"
179,6.6227,96.577,60.104,56.235,1,"286,156,417,243"
180,6.6549,97.084,60.518,56.425,1,"282,157,414,245"
181,6.6867,97.249,60.689,56.537,1,"281,156,411,243"
182,6.7187,97.212,60.306,56.684,1,"282,158,409,243"
183,6.7547,98.568,61.269,57.212,1,"278,156,408,243"
184,6.7867,99.414,61.773,57.961,1,"278,153,408,240"
185,6.8188,98.479,61.397,57.33,1,"280,153,409,238"
186,6.8547,97.711,60.723,57.031,1,"283,153,405,234"
187,6.8867,98.327,61.325,57.194,1,"277,151,403,234"
188,6.9189,99.687,62.221,57.899,1,"275,149,404,235"
189,6.9547,99.782,62.439,57.965,1,"275,148,405,235"
190,6.9866,100.56,62.523,58.574,1,"272,148,403,235"
191,7.0189,99.776,62.199,58.039,1,"275,149,404,235"
192,7.0547,100.467,62.986,58.247,1,"272,149,403,236"
193,7.0866,100.197,62.773,58.3,1,"274,150,402,236"
194,7.1187,100.524,62.872,58.511,1,"274,150,400,235"
195,7.1547,100.301,62.98,58.105,1,"272,149,401,235"
196,7.1867,101.03,62.996,58.519,1,"271,148,400,234"
197,7.2187,101.065,63.244,58.419,1,"270,146,400,233"
198,7.2508,101.459,63.188,59.005,1,"270,147,402,235"
199,7.2867,100.711,62.926,58.399,1,"272,147,404,235"
200,7.3188,100.822,62.941,58.687,1,"272,148,404,236"
201,7.3506,100.297,62.832,58.31,1,"274,147,408,236"
202,7.3867,101.819,63.405,58.949,1,"275,150,404,236"
203,7.4189,101.775,63.441,58.578,1,"274,151,403,237"
204,7.4508,101.317,62.631,58.688,1,"273,147,405,235"
205,7.4867,100.178,62.18,57.945,1,"275,151,404,237"
206,7.5188,99.533,61.748,58.022,1,"275,152,407,240"
207,7.5507,98.771,61.531,57.436,1,"273,150,405,238"
208,7.5866,97.476,59.813,55.402,1,"272,155,403,242"
209,7.6187,95.401,59.242,54.887,1,"273,155,405,243"
210,7.6509,92.714,56.928,53.231,1,"272,156,406,245"
211,7.6868,91.622,56.153,52.425,1,"272,156,405,245"
212,7.7186,90.374,54.781,51.828,1,"272,156,407,247"
213,7.7507,88.223,53.397,49.663,1,"271,160,407,250"
214,7.7827,87.951,52.826,49.329,1,"272,165,405,254"
215,7.8186,85.991,51.546,47.624,1,"271,166,403,254"
216,7.8507,83.162,49.763,47.184,1,"271,166,403,254"
217,7.8827,82.142,49.083,46.201,1,"271,166,402,253"
218,7.9187,81.297,48.414,46.038,1,"271,167,402,254"
219,7.9507,81.462,48.727,45.821,1,"268,165,401,254"
220,7.9827,81.467,48.421,45.953,1,"269,164,400,251"
221,8.0186,81.759,48.286,45.645,1,"268,164,400,252"
222,8.0509,82.081,48.039,45.916,1,"270,164,402,252"
223,8.0829,81.429,48.039,45.306,1,"269,162,401,250"
224,8.1187,81.733,47.775,45.669,1,"268,162,399,249"
225,8.1506,81.125,47.713,45.411,1,"271,162,403,250"
226,8.1828,82.09,47.976,45.85,1,"268,162,403,252"
227,8.2186,81.722,47.69,44.992,1,"268,163,402,252"
228,8.2507,81.511,47.766,44.959,1,"269,159,405,249"
229,8.2828,81.99,48.251,45.451,1,"268,156,408,250"
230,8.3189,81.872,47.698,45.37,1,"270,152,409,245"
231,8.3507,82.078,47.884,45.148,1,"269,151,409,245"
232,8.3827,82.044,47.365,45.007,1,"273,154,408,245"
233,8.4147,82.368,47.799,45.005,1,"274,152,412,245"
234,8.4508,82.42,47.575,45.215,1,"274,151,413,244"
235,8.4827,82.44,47.749,45.077,1,"270,151,419,250"
236,8.5148,82.052,47.352,45.029,1,"270,149,423,251"
237,8.5508,80.966,46.751,44.214,1,"275,153,425,254"
238,8.5828,80.196,46.188,44.056,1,"276,154,429,255"
239,8.6147,79.524,46.083,43.661,1,"277,151,433,255"
240,8.6506,78.689,45.469,43.384,1,"282,156,438,260"
241,8.6826,77.507,45.177,42.533,1,"284,154,440,258"
242,8.7148,77.876,45.076,42.896,1,"279,148,444,258"
243,8.7506,77.165,44.828,42.462,1,"283,153,448,262"
244,8.7829,76.943,44.302,42.44,1,"283,150,448,259"
245,8.8148,76.016,43.865,41.762,1,"285,150,447,257"
246,8.8507,76.22,43.933,42.16,1,"285,147,453,259"
247,8.8827,75.687,44.339,42.021,1,"285,144,454,257"
248,8.9148,76.402,44.969,42.742,1,"283,143,457,258"
249,8.9467,76.719,45.54,42.802,1,"285,143,456,257"
250,8.9827,78.677,46.8,43.678,1,"287,144,455,256"
251,9.0147,78.824,46.979,43.601,1,"288,142,456,254"
252,9.0466,80.769,48.462,45.672,1,"287,141,455,253"
253,9.0827,81.015,48.674,45.873,1,"288,141,455,252"
254,9.1146,83.005,49.7,47.109,1,"287,143,455,255"
255,9.1466,83.336,50.415,47.428,1,"284,136,456,250"
256,9.1827,84.91,51.417,48.355,1,"284,137,455,252"
257,9.2146,85.547,52.378,48.878,1,"282,138,457,255"
258,9.2467,85.61,52.196,49.054,1,"285,140,453,252"
259,9.2826,86.207,52.787,49.342,1,"284,142,452,254"
260,9.3148,86.817,53.207,49.845,1,"281,139,455,256"
261,9.3466,86.753,53.265,49.461,1,"280,140,451,255"
262,9.3827,87.126,53.472,50.032,1,"280,143,447,254"
263,9.4148,87.193,53.584,49.747,1,"281,146,446,255"
264,9.4467,88.535,54.361,50.55,1,"278,146,442,256"
265,9.4787,88.423,54.284,50.381,1,"280,148,442,257"
266,9.5147,88.086,54.18,50.567,1,"275,144,443,256"
267,9.5467,88.653,54.506,50.515,1,"276,149,441,259"
268,9.5787,88.991,54.531,50.872,1,"272,149,437,259"
269,9.6148,88.608,54.503,50.511,1,"274,150,436,259"
270,9.6467,88.794,54.284,50.643,1,"276,156,432,260"
271,9.6786,87.672,53.867,50.028,1,"277,153,436,259"
272,9.7147,88.249,53.84,50.329,1,"276,157,429,258"
273,9.7467,88.577,54.08,50.126,1,"275,159,425,260"
274,9.7787,88.418,53.745,50.497,1,"277,160,424,259"
275,9.8149,87.469,53.348,49.811,1,"278,162,423,259"
276,9.8467,88.804,54.041,50.673,1,"273,160,424,261"
277,9.8787,87.913,53.743,49.838,1,"274,161,421,259"
278,9.9147,88.876,54.191,50.753,1,"270,158,423,259"
279,9.9467,87.88,53.848,50.186,1,"275,158,425,258"
280,9.9788,88.876,54.18,50.831,1,"274,160,424,260"
281,10.015,88.747,54.339,50.591,1,"272,157,422,258"
282,10.0467,88.685,54.158,50.467,1,"272,158,421,257"
283,10.0787,88.135,53.98,50.258,1,"273,158,421,256"
284,10.1108,88.247,53.915,50.508,1,"274,159,422,257"
285,10.1467,87.774,53.624,50.015,1,"277,162,421,258"
286,10.1787,88.063,53.626,50.379,1,"277,161,424,259"
287,10.2107,87.791,53.668,49.89,1,"276,163,421,260"
288,10.2467,86.895,52.775,49.338,1,"276,166,417,259"
289,10.2788,86.391,52.594,49.012,1,"277,165,418,258"
290,10.3107,87.439,53.465,49.985,1,"273,160,420,258"
291,10.3467,87.025,53.233,49.678,1,"277,164,422,261"
292,10.3787,87.611,53.348,50.205,1,"277,163,424,262"
293,10.4108,87.001,53.184,49.624,1,"279,162,426,261"
294,10.4467,87.294,53.377,50.051,1,"279,164,426,263"
295,10.4787,86.968,53.156,49.586,1,"277,160,430,261"
296,10.5108,87.589,53.39,50.098,1,"277,159,431,262"
297,10.5467,87.123,53.03,49.447,1,"280,162,429,261"
298,10.5786,87.004,52.845,49.69,1,"284,163,432,261"
299,10.6106,87.168,53.111,49.535,1,"283,163,432,262"
300,10.6427,87.244,53.192,49.555,1,"284,164,433,263"
