formula,f1
f0,0.5153846153846154
f0_rppg,0.5075757575757576
f1,0.632768361581921
f1_rppg,0.6292134831460674
f2,0.4193548387096774
f2_rppg,0.47692307692307695
f3,0.6706586826347305
f3_rppg,0.6785714285714286
f4,0.6057692307692307
f4_rppg,0.6057692307692307
f5,0.6274509803921569
f5_rppg,0.641025641025641
f6,0.632183908045977
f6_rppg,0.6285714285714286
f7,0.6596858638743456
f7_rppg,0.6528497409326426
f8,0.06369426751592357
f8_rppg,0.05952380952380952
f9,0.6562500000000001
f9_rppg,0.6461538461538462
f10,0.3148148148148148
f10_rppg,0.3302752293577982
f11,0.6363636363636364
f11_rppg,0.6395939086294417
f12,0.6853932584269663
f12_rppg,0.6813186813186813
f13,0.6492146596858639
f13_rppg,0.6424870466321244
