frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,smoothed_composite,onset_slope,event_status,face_bbox,mp_valence,mp_smile
32,1.067,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0267,-0.1906,0.4727,0.0848,0.1109,0.1157,-0.000209,IDLE,"118,78,211,197",-0.4727,0.0001
33,1.100,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0375,-0.2105,0.4820,0.0781,0.2028,0.1139,-0.000516,IDLE,"117,78,211,197",-0.4423,0.0001
34,1.133,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0279,-0.2543,0.5330,0.0753,0.0710,0.1119,-0.001153,IDLE,"117,78,211,197",-0.4105,0.0002
35,1.167,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0147,-0.2554,0.5260,0.0731,0.0764,0.1099,-0.001440,IDLE,"117,78,211,197",-0.3766,0.0002
36,1.200,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0123,-0.2339,0.5157,0.0726,0.0448,0.1078,-0.001693,IDLE,"117,78,211,197",-0.3604,0.0003
37,1.233,haar,0.0000,Sadness,CONC,---,AMBIGUOUS,---,0.0133,-0.1974,0.4943,0.0767,0.5043,0.1060,-0.001908,IDLE,"117,78,211,197",-0.3614,0.0005
38,1.267,haar,0.0000,Sadness,---,---,AMBIGUOUS,---,0.0142,-0.2193,0.5345,0.2731,0.1884,0.1063,-0.001610,IDLE,"117,78,211,198",-0.3644,0.0010
39,1.300,haar,0.0046,Sadness,---,---,AMBIGUOUS,---,0.0129,-0.1781,0.3953,0.2787,0.2567,0.1067,-0.001329,IDLE,"117,78,211,198",-0.3759,0.0015
40,1.333,haar,0.0097,Neutral,---,---,AMBIGUOUS,---,0.0167,-0.1763,0.3642,0.2888,0.5858,0.1072,-0.001054,IDLE,"117,78,211,198",-0.3827,0.0042
41,1.367,haar,0.0091,Neutral,---,---,AMBIGUOUS,---,0.0179,-0.1846,0.3707,0.2996,0.4520,0.1078,-0.000785,IDLE,"117,78,211,199",-0.4063,0.0060
42,1.400,haar,0.0175,Sadness,---,---,AMBIGUOUS,---,0.0152,-0.1775,0.3966,0.3099,0.3456,0.1084,-0.000545,IDLE,"117,78,211,199",-0.4362,0.0090
43,1.433,haar,0.0247,Sadness,---,---,AMBIGUOUS,---,0.0128,-0.1688,0.3726,0.3149,0.2776,0.1090,-0.000291,IDLE,"117,78,211,199",-0.4437,0.0114
44,1.467,haar,0.0697,Sadness,---,STARTLE,AMBIGUOUS,---,0.0434,-0.0621,0.3563,0.2674,4.0550,0.1097,-0.000014,IDLE,"117,78,211,201",-0.3168,0.1733
45,1.500,haar,0.1840,Surprise,JOY,STARTLE,AMBIGUOUS,---,0.2624,0.3067,0.2730,0.0000,8.5367,0.1108,0.000300,IDLE,"117,78,210,204",0.3013,0.6801
46,1.533,haar,0.1766,Fear,JOY,---,AMBIGUOUS,---,0.2501,0.2649,0.2501,0.0440,1.8220,0.1120,0.000606,IDLE,"116,78,210,205",0.3546,0.7276
47,1.567,haar,0.1049,Sadness,---,---,AMBIGUOUS,---,0.0444,-0.0713,0.3428,0.3692,1.8284,0.1136,0.000730,IDLE,"116,78,210,204",-0.4783,0.0386
48,1.600,haar,0.0362,Sadness,---,---,AMBIGUOUS,---,0.0064,-0.1789,0.4266,0.3588,1.0105,0.1143,0.000764,IDLE,"117,77,210,201",-0.4590,0.0002
49,1.633,haar,0.0135,Neutral,---,---,AMBIGUOUS,---,0.0045,-0.1909,0.4420,0.3202,0.0339,0.1146,0.000746,IDLE,"117,77,210,199",-0.4208,0.0000
50,1.667,haar,0.0383,Neutral,---,---,AMBIGUOUS,---,0.0043,-0.1510,0.4658,0.3224,2.0697,0.1150,0.000719,IDLE,"117,77,210,199",-0.4455,0.0000
51,1.700,haar,0.0782,Neutral,---,STARTLE,AMBIGUOUS,---,0.0276,-0.0986,0.4322,0.3434,3.1507,0.1175,0.000902,IDLE,"117,77,210,200",-0.4739,0.0000
